pickup_location,day_of_week_pickup_sin,day_of_week_pickup_cos,pickup_time_sin,pickup_time_cos,probability_pickup
98,0.7818314824680298,0.6234898018587336,-0.2588190451025208,-0.9659258262890684,0.000195011803345992
98,0.7818314824680298,0.6234898018587336,0.0,1.0,1.0263779123473262e-05
98,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0.00014369290772862567
98,0.7818314824680298,0.6234898018587336,0.2588190451025207,0.9659258262890684,3.0791337370419785e-05
98,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,4.105511649389305e-05
98,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,5.1318895617366314e-05
98,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,1.0263779123473262e-05
98,0.7818314824680298,0.6234898018587336,0.7071067811865476,-0.7071067811865475,0.00014369290772862567
98,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.00014369290772862567
98,0.7818314824680298,0.6234898018587336,0.9659258262890684,-0.2588190451025206,0.0003387047110746177
98,0.7818314824680298,0.6234898018587336,0.9659258262890684,0.2588190451025207,2.0527558246946525e-05
98,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.00026685825721030484
98,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210294e-16,1.0263779123473262e-05
98,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,-0.2588190451025206,4.105511649389305e-05
98,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203,8.21102329877861e-05
98,0.9749279121818236,-0.2225209339563143,-0.8660254037844386,0.5000000000000001,1.0263779123473262e-05
98,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,5.1318895617366314e-05
98,0.9749279121818236,-0.2225209339563143,-0.7071067811865477,0.7071067811865474,4.105511649389305e-05
98,0.9749279121818236,-0.2225209339563143,-0.7071067811865471,-0.7071067811865479,6.158267474083957e-05
98,0.9749279121818236,-0.2225209339563143,-0.5000000000000004,0.8660254037844384,4.105511649389305e-05
98,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,0.0002565944780868316
98,0.9749279121818236,-0.2225209339563143,-0.2588190451025208,-0.9659258262890684,0.00013342912860515242
98,0.9749279121818236,-0.2225209339563143,0.0,1.0,2.0527558246946525e-05
98,0.9749279121818236,-0.2225209339563143,1.2246467991473532e-16,-1.0,8.21102329877861e-05
98,0.9749279121818236,-0.2225209339563143,0.2588190451025207,0.9659258262890684,2.0527558246946525e-05
98,0.9749279121818236,-0.2225209339563143,0.258819045102521,-0.9659258262890682,7.184645386431283e-05
98,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,6.158267474083957e-05
98,0.9749279121818236,-0.2225209339563143,0.7071067811865476,-0.7071067811865475,9.237401211125936e-05
98,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,0.00017448424509904548
98,0.9749279121818236,-0.2225209339563143,0.9659258262890684,-0.2588190451025206,0.0004105511649389305
98,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,0.00021553936159293853
99,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,1.3460399504657298e-05
99,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,2.6920799009314596e-05
